Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
62,"S Gupta, A Agrawal…",Deep learning with limited numerical precision,2780,2015, proceedings.mlr.press, … machine learning,"… To a large extent, the success of deep learning techniques is contingent upon the … computing 
infrastructure designed specifically for training deep neural networks. Some notable efforts …",https://proceedings.mlr.press/v37/gupta15.html,253
69,"Z Niu, G Zhong, H Yu",A review on the attention mechanism of deep learning,2680,2021, Elsevier, Neurocomputing,"… Attention has arguably become one of the most important concepts in the deep learning field. 
… Finally, we discuss the interpretability that attention brings to deep learning and present its …",https://www.sciencedirect.com/science/article/pii/S092523122100477X,536
30,"A Gulli, S Pal",Deep learning with Keras,2383,2017, books.google.com,,"… , machine learning, and distributed processing. He is currently working on image classification 
and similarity using deep learning … This was an incredible opportunity and a great learning …",https://books.google.com/books?hl=en&lr=&id=20EwDwAAQBAJ&oi=fnd&pg=PP1&dq=Deep+Learning&ots=lJcA7kgTS0&sig=oe-E1GdxeYRRROFcQoXXD2SGiUg,265
85,"T Ching, DS Himmelstein…",Opportunities and obstacles for deep learning in biology and medicine,2370,2018, royalsocietypublishing.org, Journal of the …,"… We examine applications of deep learning to a variety … deep learning's application to 
biomedical science and discuss the unique challenges that biomedical data pose for deep learning …",https://royalsocietypublishing.org/doi/abs/10.1098/rsif.2017.0387,296
3,"Y Bengio, I Goodfellow, A Courville",Deep learning,2329,2017, academia.edu,,"… The idea of learning the right representation for the data provides one perspective on deep 
learning. Another perspective on deep learning is that it allows the computer to learn a multi-…",https://www.academia.edu/download/62266271/Deep_Learning20200303-80130-1s42zvt.pdf,259
35,Y Gal,Uncertainty in deep learning,2217,2016, 106.54.215.74,,"… Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep 
Learning ICML2016 A deep neural network (NN) with arbitrary depth and non-linearities …",http://106.54.215.74/2019/20190729-liuzy.pdf,222
34,"S Min, B Lee, S Yoon",Deep learning in bioinformatics,1966,2017, academic.oup.com, Briefings in bioinformatics,"… interests include machine learning and deep learning for bio… deep learning in bioinformatics 
studies. To the best of our knowledge, we are one of the first groups to review deep learning …",https://academic.oup.com/bib/article-pdf/doi/10.1093/bib/bbw068/25581102/bbw068.pdf,218
61,"Z Zhang, P Cui, W Zhu",Deep learning on graphs: A survey,1927,2020, ieeexplore.ieee.org, IEEE Transactions on Knowledge and …,"… However, applying deep learning to the ubiquitous graph data … deep learning methods to 
graphs, resulting in beneficial … review the different types of deep learning methods on graphs. …",https://ieeexplore.ieee.org/abstract/document/9039675/,321
45,"M Ren, W Zeng, B Yang…",Learning to reweight examples for robust deep learning,1809,2018, proceedings.mlr.press, … on machine learning,"… -learning algorithm for reweighting training examples and training more robust deep learning 
… Our method can be directly applied to any deep learning architecture and is expected to …",http://proceedings.mlr.press/v80/ren18a.html,226
64,"C Angermueller, T Pärnamaa, L Parts…",Deep learning for computational biology,1754,2016, embopress.org, Molecular systems …,"… Modern machine learning methods, such as deep learning, promise to leverage very 
large … We provide background of what deep learning is, and the settings in which it can be …",https://www.embopress.org/doi/abs/10.15252/msb.20156651,175
91,G Marcus,Deep learning: A critical appraisal,1721,2018, arxiv.org, arXiv preprint arXiv:1801.00631,"… in the popular press, I present ten concerns for deep learning, and suggest that deep learning 
must be supplemented by other techniques if we are to reach artificial general intelligence. …",https://arxiv.org/abs/1801.00631,215
87,"A Zhang, ZC Lipton, M Li, AJ Smola",Dive into deep learning,1715,2023, books.google.com,,"… to learn why deep learning has … of deep learning principles but also detailed algorithms 
with hands-on programming code, and moreover, a state-of-the-art introduction to deep learning …",https://books.google.com/books?hl=en&lr=&id=vfDiEAAAQBAJ&oi=fnd&pg=PR17&dq=Deep+Learning&ots=ZQffGqEzpn&sig=Ab6-vtGTuNPh6olWvXe0FWKW6Fw,572
29,"M Denil, B Shakibi, L Dinh…",Predicting parameters in deep learning,1713,2013, proceedings.neurips.cc, Advances in neural …,"… significant redundancy in the parameterization of several deep learning models. Given only 
a few … We train several different architectures by learning only a small number of weights and …",https://proceedings.neurips.cc/paper/2013/hash/7fec306d1e665bc9c748b5d2b99a6e97-Abstract.html,132
76,"B Neyshabur, S Bhojanapalli…",Exploring generalization in deep learning,1571,2017, proceedings.neurips.cc, Advances in neural …,"With a goal of understanding what drives generalization in deep networks, we consider 
several recently suggested explanations, including norm-based control, sharpness and …",https://proceedings.neurips.cc/paper/2017/hash/10ce03a1ed01077e3e289f3e53c72813-Abstract.html,175
33,"J Patterson, A Gibson",Deep learning: A practitioner's approach,1472,2017, books.google.com,,"… 'll learn methods and strategies for training deep network architectures and running deep 
learning … With this book, our goal is to democratize deep learning (and machine learning) and …",https://books.google.com/books?hl=en&lr=&id=qrcuDwAAQBAJ&oi=fnd&pg=PR2&dq=Deep+Learning&ots=6omIsvgpLS&sig=AqBwg4-4zMHT630Z6GnRG71Jhj4,164
89,"S Dong, P Wang, K Abbas",A survey on deep learning and its applications,1402,2021, Elsevier, Computer Science Review,"… of deep learning. Firstly, it introduces the global development and the current situation of 
deep learning. … models of deep learning, such as stacked auto encoder, deep belief network, …",https://www.sciencedirect.com/science/article/pii/S1574013721000198,280
39,"QV Le, J Ngiam, A Coates, A Lahiri…",On optimization methods for deep learning,1386,2011, dl.acm.org, … on machine learning,"… The predominant methodology in training deep learning … , debug and scale up deep learning 
algorithms with SGDs. In … up the process of pretraining deep algorithms. In our experiments, …",https://dl.acm.org/doi/abs/10.5555/3104482.3104516,92
88,"S Khan, T Yairi",A review on the application of deep learning in system health management,1233,2018, Elsevier, Mechanical systems and signal processing,"… Deep learning has gained … of deep learning within the field. Various architectures and 
related theories are discussed to clarify its potential. Based on the reviewed work, deep learning …",https://www.sciencedirect.com/science/article/pii/S0888327017306064,154
9,"LC Yan, B Yoshua, H Geoffrey",Deep learning,1149,2015, udrc.eng.ed.ac.uk, nature,… From shallow to deep … From shallow to deep … From shallow to deep …,http://udrc.eng.ed.ac.uk/sites/udrc.eng.ed.ac.uk/files/attachments/Deep%20Learning%20and%20its%20application%20to%20CV%20and%20NLP_0.pdf,104
16,"PP Shinde, S Shah",A review of machine learning and deep learning applications,1146,2018, ieeexplore.ieee.org, 2018 Fourth international conference on …,"… So far few applications of deep learning … deep learning. A review of these past and future 
application domains, sub-domains, and applications of machine learning and deep learning …",https://ieeexplore.ieee.org/abstract/document/8697857/,143
99,"H Purwins, B Li, T Virtanen, J Schlüter…",Deep learning for audio signal processing,968,2019, ieeexplore.ieee.org, IEEE Journal of …,"… of deep learn- ing, this paper provides a review of the state-of-the-art deep learning techniques 
… , log-mel spectra and raw waveform) and deep learning models are reviewed, including …",https://ieeexplore.ieee.org/abstract/document/8678825/,138
77,"N Ravi, J Reizenstein, D Novotny, T Gordon…",Accelerating 3d deep learning with pytorch3d,934,2020, arxiv.org, arXiv preprint arXiv …,"… deep learning remains relatively underexplored. We believe that some of this disparity is due 
to the engineering challenges involved in 3D deep learning, … research in 3D deep learning. …",https://arxiv.org/abs/2007.08501,156
18,P Kim,Matlab deep learning,930,2017, Springer, With machine learning  neural networks and artificial …,"… The fact that Deep Learning is a type of Machine Learning is very important, and that is why 
we … Learning before discussing the concept of Deep Learning. What Is Machine Learning? …",https://link.springer.com/content/pdf/10.1007/978-1-4842-2845-6.pdf,103
70,JN Kutz,Deep learning in fluid dynamics,912,2017, cambridge.org, Journal of Fluid Mechanics,"It was only a matter of time before deep neural networks (DNNs) – deep learning – made 
their mark in turbulence modelling, or more broadly, in the general area of high-dimensional, …",https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/deep-learning-in-fluid-dynamics/F2EDDAB89563DE5157FC4B8342AD9C70,101
73,"J Zou, M Huss, A Abid, P Mohammadi, A Torkamani…",A primer on deep learning in genomics,901,2019, nature.com, Nature …,"… The primer is intended for bioinformaticians who are interested in applying deep learning … 
of deep learning in genomics. However, we do not provide a survey of deep learning in the …",https://www.nature.com/articles/s41588-018-0295-5,129
65,"P Mamoshina, A Vieira, E Putin…",Applications of deep learning in biomedicine,837,2016, ACS Publications, Molecular …,"… (4) Deep learning is a broad class of machine learning … Here, we review deep learning 
as a versatile biomedical … studies that have used deep learning, while highlighting areas of …",https://pubs.acs.org/doi/abs/10.1021/acs.molpharmaceut.5b00982,84
49,"NC Thompson, K Greenewald, K Lee…",The computational limits of deep learning,836,2020, assets.pubpub.org, arXiv preprint arXiv …,"… deep learning is so computationally expensive, we analyze its statistical and computational 
scaling in theory. We show that deep learning is … burden of deep learning models is scaling …",https://assets.pubpub.org/9c76pmmn/11686018723236.pdf,139
27,"Y Bengio, Y Lecun, G Hinton",Deep learning for AI,802,2021, dl.acm.org, Communications of the ACM,"… We reviewed the basic concepts and some of the breakthrough achievements of deep 
learning several years ago.Here we briefly describe the origins of deep learning, describe a few …",https://dl.acm.org/doi/abs/10.1145/3448250,160
13,J Heaton,"Ian goodfellow, yoshua bengio, and aaron courville: Deep learning: The mit press, 2016, 800 pp, isbn: 0262035618",743,2018, Springer, Genetic programming and evolvable machines,"… Deep learning’s application to diverse cases ranging from self-driving cars to … deep learning 
foundation for any AI researcher. Neural networks are the primary algorithm of deep learning…",https://link.springer.com/article/10.1007/s10710-017-9314-z,93
55,"C Cao, F Liu, H Tan, D Song, W Shu…",Deep learning and its applications in biomedicine,731,2018, academic.oup.com, Genomics …,"… The aim of this paper is to provide an overview of deep learning techniques and some of the 
… deep learning. We then describe two main components of deep learning, ie, deep learning …",https://academic.oup.com/gpb/article-abstract/16/1/17/7225050,91
72,JCB Gamboa,Deep learning for time-series analysis,682,2017, arxiv.org, arXiv preprint arXiv:1701.01887,"… of Deep Learning new models of unsupervised learning of … : a review of the main Deep 
Learning techniques is presented, and … The results make it clear that Deep Learning has a lot to …",https://arxiv.org/abs/1701.01887,76
81,P Ongsulee,"Artificial intelligence, machine learning and deep learning",671,2017, ieeexplore.ieee.org, 2017 15th international conference on ICT and …,"… and social media users, the machine can learn to distinguish the pattern and makes a … 
of machine learning and its methodologies. Furthermore, the field of deep learning which is …",https://ieeexplore.ieee.org/abstract/document/8259629/,75
75,"K Kawaguchi, LP Kaelbling, Y Bengio",Generalization in deep learning,663,2017, cambridge.org, arXiv preprint arXiv …,"… Abstract: This chapter provides theoretical insights into why and how deep learning can … 
for deep learning. On the basis of theoretical observations, we propose new open problems. …",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/91C17D047D1CF7B0B80DCF12C52D8C72/stamped-9781316516782c2_112-148.pdf/generalization_in_deep_learning.pdf,74
4,JD Kelleher,Deep learning,649,2019, books.google.com,,"… a deep learning system… deep learning enables data-driven decisions by identifying and 
extracting patterns from large datasets; its ability to learn from complex data makes deep learning …",https://books.google.com/books?hl=en&lr=&id=ZU6qDwAAQBAJ&oi=fnd&pg=PR5&dq=Deep+Learning&ots=XWx7FFXG85&sig=CHEtrkOht82iGzu88hYaCNdVkIk,93
44,"M Wainberg, D Merico, A Delong, BJ Frey",Deep learning in biomedicine,634,2018, nature.com, Nature biotechnology,"… machine learning and then focus on the subfield of deep learning. We go beyond retrospective 
reviews of deep learning … Finally, we give our outlook for the prospects for deep learning …",https://www.nature.com/articles/nbt.4233,79
43,"S Christin, É Hervet, N Lecomte",Applications for deep learning in ecology,612,2019, Wiley Online Library, Methods in Ecology and …,"… However, to our knowledge, we currently lack an insightful overview on when deep learning 
could be useful to ecologists. This review shows that the flexibility of deep learning can …",https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13256,87
79,"J Byrd, Z Lipton",What is the effect of importance weighting in deep learning?,595,2019, proceedings.mlr.press, … conference on machine learning,"… from recent developments in the theory of deep learning. In particular we are motivated by 
… cover only shallow linear, deep linear, and deep convolutional linear neural networks, our …",https://proceedings.mlr.press/v97/byrd19a.html,85
42,"AC Mater, ML Coote",Deep learning in chemistry,588,2019, ACS Publications, Journal of chemical information and …,"… pertinent information and then learn the patterns represented in … This review aims to explain 
the concepts of deep learning to … growing movement of deep learning accelerated chemistry. …",https://pubs.acs.org/doi/abs/10.1021/acs.jcim.9b00266,84
94,"J Nixon, MW Dusenberry, L Zhang…",Measuring Calibration in Deep Learning.,571,2019, openaccess.thecvf.com, CVPR …,"The reliability of a machine learning model’s confidence in its predictions is critical for high-risk 
applications. Calibration—the idea that a model’s predicted probabilities of outcomes …",http://openaccess.thecvf.com/content_CVPRW_2019/papers/Uncertainty%20and%20Robustness%20in%20Deep%20Visual%20Learning/Nixon_Measuring_Calibration_in_Deep_Learning_CVPRW_2019_paper.pdf,82
71,"M Fullan, J Quinn, J McEachen",Deep learning: Engage the world change the world,555,2017, books.google.com,,"… This book elevates deep learning from an instructional tool to … It is built on the deep belief 
that all students can learn if school … Deep Learning’s power lies in providing practical advice to …",https://books.google.com/books?hl=en&lr=&id=njY9DwAAQBAJ&oi=fnd&pg=PP1&dq=Deep+Learning&ots=8pwEO7dFrN&sig=ojik4ZpQiya5JfEU2KD4_Kqken4,62
19,TJ Sejnowski,The deep learning revolution,554,2018, books.google.com,,"… deep learning and the background needed to understand its origins; part II explains learning 
… ; and part III explores the impact that deep learning is having on our lives and what impact it …",https://books.google.com/books?hl=en&lr=&id=9xZxDwAAQBAJ&oi=fnd&pg=PR7&dq=Deep+Learning&ots=SIOeP4tAUh&sig=voGkNSkDvTrO5ysPgc6X84W7cYQ,69
56,"L Zhou, C Zhang, F Liu, Z Qiu…",Application of deep learning in food: a review,525,2019, Wiley Online Library, Comprehensive reviews in …,"… of deep learning and detailedly described the structure of some popular architectures of deep 
… We surveyed dozens of articles that used deep learning as the data analysis tool to solve …",https://ift.onlinelibrary.wiley.com/doi/abs/10.1111/1541-4337.12492,75
59,"K Sharifani, M Amini",Machine learning and deep learning: A review of methods and applications,492,2023, papers.ssrn.com, World Information Technology and …,"… learning and deep learning, their differences, applications, and their impact on various 
industries. Machine learning and deep learning are … of machine learning and deep learning, their …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4458723,164
80,"J Evermann, JR Rehse, P Fettke",Predicting process behaviour using deep learning,479,2017, Elsevier, Decision Support Systems,"… , this paper describes an application of deep learning with recurrent neural networks to the 
… , and also a novel application of deep learning methods. The approach is evaluated on two …",https://www.sciencedirect.com/science/article/pii/S0167923617300635,53
6,"A Mathew, P Amudha, S Sivakumari",Deep learning techniques: an overview,474,2021, Springer, Advanced Machine Learning …,"… of deep learning, various approaches to deep learning, architectures of deep learning, … 
the performance of traditional machine learning algorithms and deep learning algorithms [6]…",https://link.springer.com/chapter/10.1007/978-981-15-3383-9_54,95
53,"M Hardt, T Ma",Identity matters in deep learning,452,2016, arxiv.org, arXiv preprint arXiv:1611.04231,"An emerging design principle in deep learning is that each layer of a deep artificial neural 
network should be able to easily express the identity transformation. This idea not only …",https://arxiv.org/abs/1611.04231,45
14,"X Du, Y Cai, S Wang, L Zhang",Overview of deep learning,451,2016, ieeexplore.ieee.org, 2016 31st Youth Academic …,"… Therefore, we can find out that deep learning approaches have reduced the demands for … 
several typical deep learning models in Section III and several deep learning frameworNs in …",https://ieeexplore.ieee.org/abstract/document/7804882/,45
36,"H Wang, B Raj",On the origin of deep learning,449,2017, arxiv.org, arXiv preprint arXiv:1702.07800,"… While this paper primarily discusses deep learning models, optimization of deep architecture 
is an inevitable topic in this society. Section 7 is devoted to a brief summary of optimization …",https://arxiv.org/abs/1702.07800,50
52,S Webb,Deep learning for biology,438,2018, nature.com, Nature,"… “For the first time, we’ll have a data set where we can apply deep learning and look at 
whether deep learning can uncover a relationship between the things we can measure in a dish …",https://www.nature.com/articles/d41586-018-02174-z,55
58,"N Sharma, R Sharma, N Jindal",Machine learning and deep learning applications-a vision,414,2021, Elsevier, Global Transitions Proceedings,"… ) is a subgroup of machine learning. Deep learning had been analysed and implemented in 
… provide insight survey for machine learning along with deep learning applications in various …",https://www.sciencedirect.com/science/article/pii/S2666285X21000042,83
100,"Y Matsuo, Y LeCun, M Sahani, D Precup, D Silver…","Deep learning, reinforcement learning, and world models",410,2022, Elsevier, Neural Networks,"… Deep learning (DL) and reinforcement learning (RL) … in the “Deep Learning and Reinforcement 
Learning” session of … advances of deep learning and reinforcement learning algorithms. …",https://www.sciencedirect.com/science/article/pii/S0893608022001150,102
86,"DA Roberts, S Yaida, B Hanin",The principles of deep learning theory,407,2022, cambridge.org,,"… With the emergence of deep learning, AI-powered engineering wonders have entered our … 
deep learning is still partial. This is one of the first books devoted to the theory of deep learning…",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F1326B1DCDD25E55D4EFDC5DD60DA445/9781316519332pre_i-iv.pdf/frontmatter.pdf,102
47,"PL Bartlett, A Montanari, A Rakhlin",Deep learning: a statistical viewpoint,404,2021, cambridge.org, Acta numerica,"… that arise in extending these insights to realistic deep learning settings. … in deep learning. 
Although it is not the focus here, another important aspect of deep learning concerns how deep …",https://www.cambridge.org/core/journals/acta-numerica/article/deep-learning-a-statistical-viewpoint/7BCB89D860CEDDD5726088FAD64F2A5A,81
66,"X Hu, L Chu, J Pei, W Liu, J Bian",Model complexity of deep learning: A survey,379,2021, Springer, Knowledge and Information Systems,"… studies on model complexity in deep learning. Model complexity of deep learning can be 
categorized into … We also discuss the applications of deep learning model complexity including …",https://link.springer.com/article/10.1007/s10115-021-01605-0,76
10,"X Hao, G Zhang, S Ma",Deep learning,363,2016, World Scientific, International Journal of Semantic …,"Deep learning is a branch of machine learning that tries to model high-level abstractions of 
data … This paper provides an overview of deep learning in neural networks including popular …",https://www.worldscientific.com/doi/abs/10.1142/S1793351X16500045,36
51,CD Manning,Computational linguistics and deep learning,356,2015, direct.mit.edu, Computational Linguistics,"… Although there have been gains from deep learning approaches… deep learning: (1) It just 
has to be wonderful for our field for the smartest and most influential people in machine learning …",https://direct.mit.edu/coli/article-abstract/41/4/701/1512,32
5,N Rusk,Deep learning,348,2016, nature.com, Nature Methods,"… Deep learning does not depend on prior data processing and automatically extracts features… 
example, a deep neural network tasked with interpreting shapes would learn to recognize …",https://www.nature.com/articles/nmeth.3707.,35
60,"X Wang, Y Zhao, F Pourpanah",Recent advances in deep learning,327,2020, Springer, International Journal of Machine Learning …,"… , various deep architectures with different learning paradigm … To show some recent advances 
of deep learning to some extent… categories: (1) deep architectures and conventional neural …",https://link.springer.com/article/10.1007/s13042-020-01096-5,54
32,"MA Wani, FA Bhat, S Afzal, AI Khan",Advances in deep learning,311,2020, Springer,,"… deep learning architecture for face recognition problem. A comparison of the performance 
of supervised deep learning … analysis of deep learning and non-deep learning methods is …",https://link.springer.com/content/pdf/10.1007/978-981-13-6794-6.pdf,52
15,SJD Prince,Understanding deep learning,310,2023, books.google.com,,"… to this field understand the principles behind deep learning. The book is neither terribly … 
deep learning to novel situations where there is no existing recipe for success. Machine learning …",https://books.google.com/books?hl=en&lr=&id=rvyxEAAAQBAJ&oi=fnd&pg=PR13&dq=Deep+Learning&ots=1i9jvW5hQS&sig=BfdBQICohMp2Fl2FjeEgKJGoGIc,103
20,"J Howard, S Gugger",Deep Learning for Coders with fastai and PyTorch,282,2020, books.google.com,,"… As artificial intelligence has moved into the era of deep learning, it behooves all of us to 
learn as much as possible about how it works. Deep Learning for Coders provides a terrific way …",https://books.google.com/books?hl=en&lr=&id=yATuDwAAQBAJ&oi=fnd&pg=PP1&dq=Deep+Learning&ots=NLnxlu4IZL&sig=bZbDQMR5OobRUzfJj6TFN4pdQGk,47
57,"CM Bishop, H Bishop",Deep learning: Foundations and concepts,276,2023, books.google.com,,"… However, these same attributes mean that deep learning … societal aspects of the use of deep 
learning, as these topics are of … and to learn about the responsible use of deep learning and …",https://books.google.com/books?hl=en&lr=&id=0uTgEAAAQBAJ&oi=fnd&pg=PR5&dq=Deep+Learning&ots=dtrcKKjPYQ&sig=uCpGdLaUOSaAoeJQQkfGAg6Ah3E,92
98,"B Norgeot, BS Glicksberg, AJ Butte",A call for deep-learning healthcare,276,2019, nature.com, Nature medicine,"… Here we argue that now is the time to create smarter healthcare systems in which the 
best treatment decisions are computationally learned from electronic health record data by …",https://www.nature.com/articles/s41591-018-0320-3,39
26,"TW Smith, SA Colby",Teaching for deep learning,265,2007, Taylor & Francis, The clearing house: A journal of educational …,"… a definition of surface and deep learning and describe the structure of the observed learning 
outcome taxonomy, which was used to evaluate depth of learning. The authors also provide …",https://www.tandfonline.com/doi/abs/10.3200/TCHS.80.5.205-210,14
74,T Serre,"Deep learning: the good, the bad, and the ugly",264,2019, annualreviews.org, Annual review of vision science,"… Recent developments in a branch of machine learning known as deep learning have … 
The goal of this review is to provide a comprehensive overview of recent deep learning …",https://www.annualreviews.org/content/journals/10.1146/annurev-vision-091718-014951,38
93,O Calin,Deep learning architectures,247,2020, Springer,,"… learning and mathematical statistics of deep learning, or the mathematics relevant to the 
computational complexity of deep learning, … be represented by deep learning neural networks. …",https://link.springer.com/content/pdf/10.1007/978-3-030-36721-3.pdf,41
92,"J Fan, C Ma, Y Zhong",A selective overview of deep learning,237,2020, pmc.ncbi.nlm.nih.gov, Statistical science: a review journal of …,"… Along the way, we highlight new characteristics of deep learning (including depth … deep 
learning, many of which are only suggestive. While a complete understanding of deep learning …",https://pmc.ncbi.nlm.nih.gov/articles/PMC8300482/,40
97,"J Berner, P Grohs, G Kutyniok…",The modern mathematics of deep learning,237,2021, cambridge.org, arXiv preprint arXiv …,"… deep learning. This field emerged around a list of research questions that were not answered 
within the classical framework of learning … role of depth in deep architectures, the apparent …",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7C3874F83A5D934E5FDC984B8457D553/stamped-9781316516782c1_1-111.pdf/modern_mathematics_of_deep_learning.pdf,47
8,J Schmidhuber,Deep learning,210,2015, scholarpedia.org, Scholarpedia,"… , may learn to solve problems of potentially unlimited depth, for example, by learning to store 
in … Some NNs can quickly learn to solve certain deep but simple problems through random …",http://www.scholarpedia.org/article/Deep_Learning,19
25,"M Khan, B Jan, H Farman, J Ahmad, H Farman…",Deep learning methods and applications,209,2019, Springer, Deep learning …,"… deep learning paradigm, their intricate details, and their applications in various fields. Deep 
learning … learning algorithms. It has made it possible as well as practical to integrate machine …",https://link.springer.com/chapter/10.1007/978-981-13-3459-7_3,30
82,"W Wang, M Zhang, G Chen, HV Jagadish, BC Ooi…",Database meets deep learning: Challenges and opportunities,199,2016, dl.acm.org, ACM Sigmod …,"… However, databases and deep learning are different in … deep learning systems from a 
database perspective, and analyze database applications that may benefit from deep learning …",https://dl.acm.org/doi/abs/10.1145/3003665.3003669,20
90,"MR Minar, J Naher",Recent advances in deep learning: An overview,186,2018, arxiv.org, arXiv preprint arXiv:1807.08169,"… Considering the popularity and expansion of Deep Learning in recent years, we present 
a brief overview of Deep Learning as well as Neural Networks (NN), and its major advances …",https://arxiv.org/abs/1807.08169,23
24,FQ Lauzon,An introduction to deep learning,178,2012, ieeexplore.ieee.org, 2012 11th international conference on information …,"… Besides briefly introducing deep learning, the main contribution of this … , deep learning 
along with the theory behind SdA were briefly introduced. Test result shows that a deep learning …",https://ieeexplore.ieee.org/abstract/document/6310529/,13
28,KG Kim,Book review: Deep learning,172,2016, synapse.koreamed.org, Healthcare informatics research,"… The hierarchy of concepts allows the computer to learn complicated concepts by building … 
be many layers deep. This book introduces a broad range of topics in relation to deep learning. …",https://synapse.koreamed.org/articles/1075818,17
31,"L Arnold, S Rebecchi, S Chevallier…",An introduction to deep learning,166,2011, hal.science, … symposium on artificial …,"… As part of a two-stage learning scheme involving multiple … deep learning special session 
details the state-of-the-art models and summarizes the current understanding of this learning …",https://hal.science/hal-01352061/,11
40,U Michelucci,Applied deep learning,159,2018, Springer,based approach to understanding Deep neural …,"Why another book on applied deep learning? That is the question I asked myself before 
starting to write this volume. After all, do a Google search on the subject, and you will be …",https://link.springer.com/content/pdf/10.1007/978-1-4842-3790-8.pdf,20
